fund_name,category,risk,nav,expense_ratio,return_1y,return_5y,return_10y,exit_load,min_investment_amount,aum
ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund,Equity,Very High,41.11,1.04,8.9%,17.9%,Not available,Exit load of 1% if redeemed within 15 days.,,6658.0
ICICI Prudential BHARAT 22 FOF Direct - Growth,Equity,Very High,36.37,0.12,24.3%,26.7%,Not available,Not available,,2551.0
ICICI Prudential Retirement Fund,Equity,Moderately High,36.71,0.72,21.6%,22.4%,Not available,Not available,,1652.0
ICICI Prudential Infrastructure Direct-Growth,Equity,Very High,205.49,1.15,11.2%,25.3%,19.5%,Exit load of 1% if redeemed within 15 days,,8076.0
ICICI Prudential Retirement Fund,Hybrid,Moderately High,29.43,0.79,18.3%,17.3%,Not available,Not available,,1093.0
ICICI Prudential Focused Equity Fund,Equity,Very High,105.18,0.58,16.5%,19.2%,17.4%,Exit load of 1% if redeemed within 1 year,,14935.0
ICICI Prudential India Equity FOF Fund,Equity,Very High,33.05,0.63,10.9%,25.6%,Not available,Exit load of 1% if redeemed within 12 months.,,238.0
ICICI Prudential Large & Mid Cap Fund,Equity,Very High,1124.94,0.78,12.8%,20.0%,17.6%,Exit load of 1% if redeemed within 1 month.,,27444.0
ICICI Prudential Diversified Equity All Cap Omni FoF Direct - Growth,Equity,Very High,31.26,0.31,9.5%,18.4%,Not available,Exit load of 1% if redeemed within 12 months.,,262.0
ICICI Prudential Value Direct-Growth,Equity,Very High,520.49,0.96,12.7%,20.0%,17.1%,Exit load of 1% if redeemed within 12 months,,60352.0
ICICI Prudential Multi Asset Fund,Hybrid,Very High,889.2,0.64,15.7%,19.7%,17.7%,"Exit Load for units in excess of 30% of the investment,1% will be charged for redemption within 365 days. See more",,80768.0
ICICI Prudential Equity & Debt Fund,Hybrid,Very High,443.79,0.92,13.1%,18.7%,17.3%,"Exit load for units in excess of 30% of the investment,1% will be charged for redemption within 365 days See more",,49256.0
ICICI Prudential Large Cap Fund,Equity,Very High,119.96,0.85,11.4%,15.3%,15.9%,Exit load of 1% if redeemed upto 1 year.,,76645.0
ICICI Prudential Bharat Consumption Fund,Equity,High,25.25,1.11,4.7%,14.7%,Not available,Exit load of 1% if redeemed within 3 months.,,3075.0
ICICI Prudential Income Plus Arbitrage Active FoF Fund,Hybrid,Moderate,68.69,0.03,7.2%,11.2%,Not available,Not available,,1917.0
